cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
3515202;Estrela d'Oeste;296,281;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3515301;Estrela do Norte;264,987;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3515350;Euclides da Cunha Paulista;573,894;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35115;Pontal do Paranapanema
3515400;Fartura;429,171;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3515509;Fernandópolis;549,797;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3515608;Fernando Prestes;169,99;13;RA Central;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3515657;Fernão;100,504;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3515707;Ferraz de Vasconcelos;29,547;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3515806;Flora Rica;224,711;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3515905;Floreal;204,236;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3516002;Flórida Paulista;524,138;11;RA Presidente Prudente;9;Demais municípios;5;DRS Marília;35091;Adamantina
3516101;Florínea;225,886;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3516200;Franca;605,679;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3516309;Francisco Morato;49,001;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35012;Franco da Rocha
3516408;Franco da Rocha;132,775;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35012;Franco da Rocha
3516507;Gabriel Monteiro;138,681;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3516606;Gália;355,914;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3516705;Garça;555,807;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3516804;Gastão Vidigal;180,569;10;RA Araçatuba;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3516853;Gavião Peixoto;243,766;13;RA Central;9;Demais municípios;8;DRS Araraquara;35031;Central do DRS III
3516903;General Salgado;494,376;10;RA Araçatuba;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3517000;Getulina;676,755;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35065;Lins
3517109;Glicério;272,8;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3517208;Guaiçara;277,154;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35065;Lins
3517307;Guaimbê;217,811;8;RA Bauru;9;Demais municípios;5;DRS Marília;35093;Marília
3517406;Guaíra;1258,465;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35051;Norte - Barretos
3517505;Guapiaçu;325,126;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3517604;Guapiara;408,292;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3517703;Guará;362,183;15;RA Franca;9;Demais municípios;4;DRS Franca;35083;Alta Mogiana
